,State,Coli_Index,Grocery,Housing,Utilities,Transportation,Misc,Rank
0,Mississippi,86.1,93.2,66.6,92.3,89.1,91.4,1.0
1,Arkansas,86.9,92.5,75.6,90.7,91.0,97.4,2.0
2,Oklahoma,87.0,94.6,73.0,93.4,92.5,93.5,3.0
3,Missouri,87.1,95.4,78.3,96.3,90.4,95.8,4.0
4,New Mexico,87.5,94.6,84.4,89.9,98.5,91.9,5.0
5,Tennessee,88.7,93.0,79.4,91.7,86.0,92.9,6.0
6,Michigan,88.9,91.0,80.2,98.5,101.8,96.4,7.0
7,Kansas,89.0,92.6,70.0,100.1,95.4,90.3,8.0
8,Georgia,89.2,96.3,74.3,90.3,95.7,96.6,9.0
9,Wyoming,89.3,103.5,81.7,87.4,94.5,105.5,10.0
10,Alabama,89.3,98.0,69.2,100.7,92.8,94.1,11.0
11,Indiana,90.0,92.4,76.4,96.7,96.6,95.2,12.0
12,Iowa,90.1,98.3,76.5,94.1,98.6,93.7,13.0
13,Ohio,90.8,97.9,76.1,90.7,99.6,98.7,14.0
14,Nebraska,90.8,98.6,86.6,88.9,100.4,96.8,15.0
15,Kentucky,90.9,93.3,80.1,104.2,101.6,103.7,16.0
16,West Virginia,91.1,97.9,77.1,88.2,104.8,102.9,17.0
17,Texas,91.5,91.2,83.5,103.3,90.9,97.0,18.0
18,Idaho,92.3,91.6,105.5,82.8,98.6,100.9,19.0
19,Louisiana,93.9,95.6,86.3,86.7,94.9,98.4,20.0
20,Illinois,94.5,97.4,85.2,95.8,106.5,96.7,21.0
21,North Carolina,94.9,97.4,91.8,97.2,95.1,99.2,22.0
22,South Carolina,95.9,101.8,80.1,105.0,93.5,99.4,23.0
23,Arizona,97.0,101.8,106.2,105.2,98.8,99.7,24.0
24,Wisconsin,97.3,100.9,88.6,98.1,97.8,98.9,25.0
25,Florida,97.9,106.9,99.6,103.1,101.7,98.4,26.0
26,Utah,98.4,97.9,97.6,93.2,99.8,99.5,27.0
27,North Dakota,98.8,102.1,93.7,93.3,105.2,96.3,28.0
28,South Dakota,99.8,101.8,112.7,91.2,89.7,91.1,29.0
29,Virginia,100.7,96.1,112.1,96.5,88.7,100.2,30.0
30,Minnesota,101.6,105.0,90.4,96.2,102.8,108.8,31.0
31,Pennsylvania,101.7,109.3,100.6,109.5,112.0,102.9,32.0
32,Colorado,105.6,99.9,116.7,87.9,103.0,107.4,33.0
33,Montana,106.9,103.1,105.9,88.1,95.3,98.6,34.0
34,Delaware,108.1,109.5,93.3,104.3,111.0,113.7,35.0
35,Nevada,108.5,110.8,118.5,87.0,113.2,99.3,36.0
36,New Hampshire,109.7,99.7,110.3,115.2,99.6,110.8,37.0
37,Washington,110.7,109.2,116.7,91.1,118.3,110.4,38.0
38,Vermont,114.5,109.5,136.7,120.6,116.4,104.1,39.0
39,Maine,117.5,100.4,142.0,107.2,106.9,108.4,40.0
40,Rhode Island,119.4,108.7,124.2,125.8,111.1,118.7,41.0
41,New Jersey,125.1,108.7,137.0,104.6,106.5,106.6,42.0
42,Connecticut,127.7,101.8,137.7,132.3,112.7,114.1,43.0
43,Maryland,129.7,108.7,171.3,104.0,110.5,108.0,44.0
44,Alaska,129.9,132.7,126.6,157.0,111.0,113.7,45.0
45,Massachusetts,131.6,117.0,179.2,110.8,112.2,116.1,46.0
46,Oregon,134.2,109.0,178.1,90.1,125.3,118.5,47.0
47,New York,139.1,118.3,230.2,99.2,110.6,114.8,48.0
48,California,151.7,110.3,192.7,128.5,136.1,111.3,49.0
49,Hawaii,192.9,157.9,313.1,169.2,141.1,126.7,50.0
